ride_id,customer_id,driver_id,car_id,day_of_week,request_time,driver_acceptance_time,pickup_time,dropoff_time,wait_time_minutes,trip_time_minutes,pickup_x,pickup_y,pickup_zone,dropoff_x,dropoff_y,dropoff_zone,trip_distance_units,zone_speed_limit,pickup_minute_of_day,predicted_time_naive,abs_error_naive
7ab58747,6b4a5a8b,DRV-8206,CAR-234,Sun,05:53,05:53,05:57,06:08,0.89,10.9,5,4,Road,2,6,Road,5,45.0,357,6.666666666666667,4.233333333333333
5456a36a,4a84a2fd,DRV-9678,CAR-468,Wed,11:00,11:01,11:03,11:24,1.24,20.96,5,0,Road,8,8,Road,11,45.0,663,14.666666666666666,6.293333333333335
789ee231,4a84a2fd,DRV-2235,CAR-572,Tue,11:44,11:44,11:47,12:00,0.99,12.29,4,5,Road,4,0,Empty,5,45.0,707,6.666666666666667,5.623333333333332
56e25251,bdaea322,DRV-9063,CAR-572,Tue,14:13,14:14,14:18,14:33,1.32,15.47,6,6,Empty,2,9,Road,7,20.0,858,21.0,5.529999999999999
46232ffc,4a84a2fd,DRV-1145,CAR-575,Tue,16:34,16:35,16:37,16:53,1.38,15.77,6,4,Empty,4,0,Empty,6,20.0,997,18.0,2.2300000000000004
d1480e33,6e8adc63,DRV-8206,CAR-575,Tue,15:14,15:15,15:18,15:34,1.24,16.47,3,5,Road,0,1,Water,7,45.0,918,9.333333333333334,7.136666666666665
ee4df1ee,bdaea322,DRV-8206,CAR-234,Tue,14:31,14:31,14:34,14:50,0.95,15.08,5,5,Road,3,1,Residential,6,45.0,874,8.0,7.08
97fc40b6,bdaea322,DRV-2235,CAR-234,Tue,14:47,14:48,14:49,14:56,1.09,7.9,3,0,Empty,3,1,Residential,1,20.0,889,3.0,4.9
7922a4a2,6e8adc63,DRV-2235,CAR-572,Fri,22:18,22:19,22:24,22:46,1.25,22.62,9,5,Road,0,4,Empty,10,45.0,1344,13.333333333333334,9.286666666666667
2e8c6732,040f75fb,DRV-9678,CAR-123,Fri,18:09,18:10,18:11,18:23,1.34,12.2,2,2,Road,0,1,Water,3,45.0,1091,4.0,8.2
bd78d513,6e8adc63,DRV-9678,CAR-575,Sat,01:28,01:28,01:29,01:40,0.93,10.15,0,3,Empty,2,0,Road,5,20.0,89,15.0,4.85
fdfef0ba,040f75fb,DRV-8206,CAR-575,Wed,17:52,17:53,17:57,18:10,1.39,12.95,6,5,Road,6,9,Empty,4,45.0,1077,5.333333333333333,7.616666666666666
42d1c380,6b4a5a8b,DRV-9063,CAR-575,Wed,08:09,08:10,08:11,08:38,1.4,27.3,7,9,Empty,1,0,Water,15,20.0,491,45.0,17.7
69b666c1,4a84a2fd,DRV-9678,CAR-123,Tue,01:00,01:01,01:04,01:12,1.07,8.88,7,6,Empty,4,5,Road,4,20.0,64,12.0,3.119999999999999
6fa5a70b,6e8adc63,DRV-9063,CAR-468,Fri,19:48,19:48,19:50,20:05,0.82,15.13,8,6,Road,3,6,Empty,5,45.0,1190,6.666666666666667,8.463333333333335
